0.03	2.01	S0
1192.25	1208.84	S0
1208.84	1215.86	S0
1251.03	1266.13	S0
1302.28	1306.16	S0
1306.16	1316.91	S0
1316.91	1328.17	S0
1362.64	1366.35	S0
1366.82	1381.28	S0
1426.17	1438.16	S0
1459.53	1470.13	S0
1497.14	1512.43	S0
1518.29	1521.13	S0
1533.51	1535.97	S0
2140.96	2143.67	S0
2233.94	2237.48	S0
2.01	12.02	S1
12.02	24.07	S1
24.07	40.24	S1
40.24	54.04	S1
54.04	63.01	S1
63.01	71.64	S1
71.64	83.46	S1
83.46	93.96	S1
93.96	112.11	S1
112.11	125.54	S1
125.54	136.24	S1
136.24	154.53	S1
154.53	169.71	S1
169.71	180.98	S1
180.98	197.92	S1
609.16	619.72	S100
629.86	646.76	S100
1791.66	1795.65	S100
595.49	603.97	S102
619.72	629.86	S102
544.52	550.31	S108
556.37	561.24	S108
567.27	574.31	S108
603.97	608.81	S108
646.76	652.20	S108
652.39	656.42	S109
656.61	662.27	S109
692.09	703.59	S109
704.35	708.64	S109
708.85	713.62	S109
662.27	668.91	S111
668.91	686.66	S111
686.87	692.09	S111
713.62	733.14	S111
197.92	200.08	S122
200.14	202.42	S122
309.18	327.38	S122
327.38	334.32	S122
334.32	348.42	S122
379.49	389.41	S122
424.21	441.34	S122
733.14	739.98	S122
739.98	756.61	S122
756.61	760.53	S122
851.27	867.27	S122
867.27	875.87	S122
875.87	881.49	S122
927.19	933.18	S122
990.57	1003.71	S122
1052.16	1057.28	S122
1070.47	1073.90	S122
1535.97	1549.24	S122
1549.24	1559.30	S122
1559.30	1571.38	S122
1686.38	1697.58	S122
1800.24	1811.69	S122
1811.69	1820.63	S122
1886.93	1900.37	S122
1950.15	1957.47	S122
1979.50	1984.35	S122
2054.10	2059.43	S122
2339.29	2346.08	S122
760.53	770.68	S127
770.68	782.33	S127
782.33	791.36	S127
791.36	794.14	S127
794.14	799.64	S127
799.64	805.57	S127
805.57	821.76	S127
821.76	831.09	S127
831.09	845.92	S127
845.92	851.27	S127
881.49	895.26	S127
895.26	909.02	S127
909.02	927.19	S127
933.18	944.37	S127
944.37	949.52	S127
949.52	967.83	S127
967.83	983.30	S127
983.30	990.57	S127
1003.71	1020.34	S127
1020.34	1028.46	S127
1028.47	1036.34	S127
1036.34	1052.16	S127
1057.37	1066.27	S175
1073.90	1091.77	S177
